"","Feature","Gain","Cover","Frequency"
"1","Bureau_tenure_CC",0.445512755901936,0.239805250532999,0.210649960845732
"2","Num_Other_last_3yr",0.159677642248005,0.145861676753312,0.155833985904464
"3","num_colla_no_shared_Banks",0.0837097259952787,0.0500962016847289,0.0344557556773688
"4","num_NonBank_last_18m",0.0780769493501614,0.0796205055227971,0.0908379013312451
"5","max_worstDPDBucket_Other",0.0345514941841765,0.0688657036472768,0.0642129992169146
"6","num_NonBank_last_3yr",0.0274641186316738,0.0149720898510202,0.0133124510571652
"7","num_NonBank_last_2yr",0.0237481848249848,0.0159796706110938,0.0148786217697729
"8","Amt_NonBank_last_3yr",0.0222093484705359,0.0498298960610979,0.0587314017227878
"9","Bureau_tenure_NonBank",0.0184176795016558,0.0332579429664279,0.043069694596711
"10","Num_eksternal_last_3yr",0.0183830889747765,0.0703564119697922,0.0845732184808144
"11","num_colla_Insured_Live",0.0145747775333469,0.0233909751942052,0.0195771339075959
"12","Num_Other_last_2yr_to_3yr",0.0117063818192494,0.0244567732989663,0.028974158183242
"13","num_colla_no_shared_NonBank",0.0105681813511183,0.00686237508179347,0.00939702427564605
"14","num_Other",0.00968105452981327,0.0120982369600921,0.0140955364134691
"15","num_colla_Insured_individual",0.00893972054275213,0.00435121804632461,0.0062646828504307
"16","num_colla_Insured",0.00787459830307255,0.0440186352667809,0.0399373531714957
"17","num_colla_NonCashFixedAsset_insured",0.00569308570764031,0.0427175426403294,0.0391542678151919
"18","num_colla_no_shared_Live",0.0053738280791735,0.00845512444047909,0.00783085356303837
"19","loan_amt_last_2yr_to_3yr",0.0045640378742166,0.0231621231858545,0.0234925606891151
"20","num_colla_Other_noshared_Banks",0.00352062017851761,0.0236400336194904,0.0227094753328113
"21","Num_delq_5_plus_Other_last_18m",0.00215995803593959,0.00874751535329207,0.00783085356303837
"22","Num_delq_5_plus_Eksternal_last_18m",0.00175707969690352,0.00303563772500357,0.00313234142521535
"23","num_colla_Other_noinsured_Live",0.000686065074472582,0.000693401125213106,0.000783085356303837
"24","Num_delq_5_plus_Eksternal_last_2yr",0.000622683414547982,0.0025316115861375,0.00313234142521535
"25","Num_delq_5_plus_Individual_last_18m",0.00024686043530943,0.00064464663254233,0.000783085356303837
"26","Num_delq_5_plus_live_last_1yr",0.000181282722581082,0.00169803800946088,0.00156617071260767
"27","Num_delq_5_plus_Eksternal_last_1yr",0.000098796618160422,0.000850762233489371,0.000783085356303837
